entity_text,entity_type,source_url,source_title,sentence,confidence
Brazil,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,The Brazil men's national volleyball team is governed by the Confederação Brasileira de Voleibol (Brazilian Volleyball Confederation) and takes part in international volleyball competitions.,0.85
Confederação Brasileira de Voleibol,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,The Brazil men's national volleyball team is governed by the Confederação Brasileira de Voleibol (Brazilian Volleyball Confederation) and takes part in international volleyball competitions.,0.88
Brazilian Volleyball Confederation,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,The Brazil men's national volleyball team is governed by the Confederação Brasileira de Voleibol (Brazilian Volleyball Confederation) and takes part in international volleyball competitions.,0.88
Olympic Games,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Brazil has won three gold medals at the Olympic Games, has won the World Championship three times, and the World League nine times.",0.75
World Championship,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Brazil has won three gold medals at the Olympic Games, has won the World Championship three times, and the World League nine times.",0.75
World League,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Brazil has won three gold medals at the Olympic Games, has won the World Championship three times, and the World League nine times.",0.75
FIVB,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"With a tally total of 69 titles, Brazil is the national volleyball team that has won the most titles overall in the main FIVB sanctioned competitions, and also the national team that has won the most ",0.88
Bernardo Rezende,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"The team is sometimes referred to as volleyball's ""Dream Team"" in reference to its remarkable winning streak period under coach Bernardo Rezende.",0.9
FIVB World Rankings,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,Currently Brazil is ranked third in the FIVB World Rankings.,0.88
Sydney Olympic Games,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After the sixth place in the Sydney Olympic Games, the Brazilian men's national team underwent some important changes ahead of the 2001 season.",0.75
2001 season,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After the sixth place in the Sydney Olympic Games, the Brazilian men's national team underwent some important changes ahead of the 2001 season.",0.6
Bernardinho,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Mr. Bernardo Rezende, nicknamed Bernardinho, who had spent six years coaching the women's national team, was chosen to be the head coach of the Brazilian men's national team.",0.9
six years,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Mr. Bernardo Rezende, nicknamed Bernardinho, who had spent six years coaching the women's national team, was chosen to be the head coach of the Brazilian men's national team.",0.6
first season,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In the first season with Bernardinho, the team conquered three gold medals (World League, America's Cup and South American Championship) and one silver medal (World Grand Champions Cup).",0.6
America's Cup,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In the first season with Bernardinho, the team conquered three gold medals (World League, America's Cup and South American Championship) and one silver medal (World Grand Champions Cup).",0.75
South American Championship,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In the first season with Bernardinho, the team conquered three gold medals (World League, America's Cup and South American Championship) and one silver medal (World Grand Champions Cup).",0.75
World Grand Champions Cup,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In the first season with Bernardinho, the team conquered three gold medals (World League, America's Cup and South American Championship) and one silver medal (World Grand Champions Cup).",0.75
World League,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In 2002, Brazil finished second in the World League after losing the title at home idc in the match against Russia.",0.88
Russia,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In 2002, Brazil finished second in the World League after losing the title at home idc in the match against Russia.",0.85
that same season,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"But in that same season, they conquered the World Championship for the first time ever.",0.6
2003 season,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,The beginning of the 2003 season was very special for the World Champions.,0.6
World Champions,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,The beginning of the 2003 season was very special for the World Champions.,0.88
Serbia,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In an exciting final match against Serbia and Montenegro, Brazil won the World League gold medal for the third time, beating its opponent 3–2 in Madrid.",0.85
Montenegro,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In an exciting final match against Serbia and Montenegro, Brazil won the World League gold medal for the third time, beating its opponent 3–2 in Madrid.",0.85
Madrid,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In an exciting final match against Serbia and Montenegro, Brazil won the World League gold medal for the third time, beating its opponent 3–2 in Madrid.",0.85
Venezuela,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After that, the team was defeated by Venezuela in the semifinal of the Pan American Games in Santo Domingo (Dominican Republic) and ended up with the bronze in the competition.",0.85
Pan American Games,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After that, the team was defeated by Venezuela in the semifinal of the Pan American Games in Santo Domingo (Dominican Republic) and ended up with the bronze in the competition.",0.75
Santo Domingo,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After that, the team was defeated by Venezuela in the semifinal of the Pan American Games in Santo Domingo (Dominican Republic) and ended up with the bronze in the competition.",0.85
Dominican Republic,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After that, the team was defeated by Venezuela in the semifinal of the Pan American Games in Santo Domingo (Dominican Republic) and ended up with the bronze in the competition.",0.85
only one month later,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"However, the Brazilian squad beat Venezuela by 3–0 in the South American Championship final only one month later.",0.6
That year,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"That year ended with Brazil conquering the last title it had not won yet: the World Cup, in Japan.",0.6
World Cup,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"That year ended with Brazil conquering the last title it had not won yet: the World Cup, in Japan.",0.75
Japan,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"That year ended with Brazil conquering the last title it had not won yet: the World Cup, in Japan.",0.85
August,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In August, the Brazilian men's team won the second Olympic gold medal of its history, which happened in Athens in 2004 (the first one was conquered in Barcelona in 1992).",0.6
Athens,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In August, the Brazilian men's team won the second Olympic gold medal of its history, which happened in Athens in 2004 (the first one was conquered in Barcelona in 1992).",0.85
Barcelona,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In August, the Brazilian men's team won the second Olympic gold medal of its history, which happened in Athens in 2004 (the first one was conquered in Barcelona in 1992).",0.85
Italy,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In the final, Brazil beat Italy 3–1.",0.85
2005 season,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"In the 2005 season, the Olympic Champion won four medals.",0.6
United States,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"After that, the team became second in the America's Cup, defeated by the United States in the final.",0.85
