subject,relation,object,pattern,source_url
Patrick Steuerwald,bornIn,Wolfach,wikidata_structured,https://www.wikidata.org
Christian Dünnes,bornIn,Siegen,wikidata_structured,https://www.wikidata.org
Marko Liefke,bornIn,Schwerin,wikidata_structured,https://www.wikidata.org
Michel Constantin,bornIn,15th arrondissement of Paris,wikidata_structured,https://www.wikidata.org
Gavin Schmitt,bornIn,Grande Prairie,wikidata_structured,https://www.wikidata.org
Filip Vujić,bornIn,Belgrade,wikidata_structured,https://www.wikidata.org
Wout Wijsmans,bornIn,Hasselt,wikidata_structured,https://www.wikidata.org
Stelian Moculescu,bornIn,Brașov,wikidata_structured,https://www.wikidata.org
Todor Aleksiev,bornIn,Plovdiv,wikidata_structured,https://www.wikidata.org
Jakub Bednaruk,bornIn,Bielsko-Biała,wikidata_structured,https://www.wikidata.org
Zbigniew Bartman,bornIn,Warsaw,wikidata_structured,https://www.wikidata.org
Andrea Anastasi,bornIn,Poggio Rusco,wikidata_structured,https://www.wikidata.org
Tine Urnaut,bornIn,Slovenj Gradec,wikidata_structured,https://www.wikidata.org
Zbigniew Jasiukiewicz,bornIn,Nowogród Bobrzański,wikidata_structured,https://www.wikidata.org
Andrej Urnaut,bornIn,Ravne na Koroškem,wikidata_structured,https://www.wikidata.org
Lorenzo Bernardi,bornIn,Trento,wikidata_structured,https://www.wikidata.org
Mark Heese,bornIn,Toronto,wikidata_structured,https://www.wikidata.org
Andrija Gerić,bornIn,Novi Sad,wikidata_structured,https://www.wikidata.org
Ferdinand Tille,bornIn,Mühldorf am Inn,wikidata_structured,https://www.wikidata.org
Axel Hager,bornIn,Burg auf Fehmarn,wikidata_structured,https://www.wikidata.org
Wolfgang Kuck,bornIn,Wülfrath,wikidata_structured,https://www.wikidata.org
Rivo Vesik,bornIn,Pärnu,wikidata_structured,https://www.wikidata.org
Norbert Walter,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Giba,bornIn,Londrina,wikidata_structured,https://www.wikidata.org
Scott Touzinsky,bornIn,St. Louis,wikidata_structured,https://www.wikidata.org
Renan Dal Zotto,bornIn,São Leopoldo,wikidata_structured,https://www.wikidata.org
Andreas Boettcher,bornIn,Lünen,wikidata_structured,https://www.wikidata.org
Uroš Kovačević,bornIn,Kraljevo,wikidata_structured,https://www.wikidata.org
Aleksandrs Samoilovs,bornIn,Riga,wikidata_structured,https://www.wikidata.org
Aleksandar Atanasijević,bornIn,Belgrade,wikidata_structured,https://www.wikidata.org
Reinder Nummerdor,bornIn,IJsselmuiden,wikidata_structured,https://www.wikidata.org
Igor Vušurović,bornIn,Berane,wikidata_structured,https://www.wikidata.org
Andris Krūmiņš,bornIn,Talsi,wikidata_structured,https://www.wikidata.org
Cosimo Gallotta,bornIn,Oliveto Citra,wikidata_structured,https://www.wikidata.org
Martin van der Horst,bornIn,Heemskerk,wikidata_structured,https://www.wikidata.org
Junji Kariya,bornIn,Gifu,wikidata_structured,https://www.wikidata.org
Clayton Stanley,bornIn,Honolulu,wikidata_structured,https://www.wikidata.org
Kay Matysik,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Markus Dieckmann,bornIn,Bonn,wikidata_structured,https://www.wikidata.org
Michał Kubiak,bornIn,Wałcz,wikidata_structured,https://www.wikidata.org
Pablo Crer,bornIn,Rosario,wikidata_structured,https://www.wikidata.org
Sebastian Solé,bornIn,Rosario,wikidata_structured,https://www.wikidata.org
Kristjan Kais,bornIn,Paikuse,wikidata_structured,https://www.wikidata.org
Urpo Sivula,bornIn,Kuru,wikidata_structured,https://www.wikidata.org
Mikko Esko,bornIn,Vammala,wikidata_structured,https://www.wikidata.org
Giovanni Polidori,bornIn,Rieti,wikidata_structured,https://www.wikidata.org
Denis Kaliberda,bornIn,Poltava,wikidata_structured,https://www.wikidata.org
Wilt Chamberlain,bornIn,Philadelphia,wikidata_structured,https://www.wikidata.org
Reid Priddy,bornIn,Richmond,wikidata_structured,https://www.wikidata.org
Todor Skrimow,bornIn,Pernik,wikidata_structured,https://www.wikidata.org
Jan Posthuma,bornIn,Dokkum,wikidata_structured,https://www.wikidata.org
Veljko Petković,bornIn,Novi Sad,wikidata_structured,https://www.wikidata.org
Rodrigo Quiroga,bornIn,San Juan,wikidata_structured,https://www.wikidata.org
Christian Pampel,bornIn,Gehrden,wikidata_structured,https://www.wikidata.org
Nicolás Bruno,bornIn,Buenos Aires,wikidata_structured,https://www.wikidata.org
Vincent Lange,bornIn,East Berlin,wikidata_structured,https://www.wikidata.org
Murilo Endres,bornIn,Passo Fundo,wikidata_structured,https://www.wikidata.org
Teodor Salparov,bornIn,Gabrovo,wikidata_structured,https://www.wikidata.org
Vladimir Kondra,bornIn,Sochi,wikidata_structured,https://www.wikidata.org
Jørre Kjemperud,bornIn,Vikersund,wikidata_structured,https://www.wikidata.org
Marcin Możdżonek,bornIn,Olsztyn,wikidata_structured,https://www.wikidata.org
Ákos Hoboth,bornIn,Budapest,wikidata_structured,https://www.wikidata.org
Felix Fischer,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Dante Amaral,bornIn,Itumbiara,wikidata_structured,https://www.wikidata.org
Ali Peçen,bornIn,Istanbul,wikidata_structured,https://www.wikidata.org
Daniele Bagnoli,bornIn,Mantua,wikidata_structured,https://www.wikidata.org
Wiktor Josifow,bornIn,Omurtag,wikidata_structured,https://www.wikidata.org
Frank Dehne,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Björn Andrae,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Anton Schiller,bornIn,Vienna,wikidata_structured,https://www.wikidata.org
Eugen Bakumovski,bornIn,Zaporizhzhia,wikidata_structured,https://www.wikidata.org
Simone Rosalba,bornIn,Paola,wikidata_structured,https://www.wikidata.org
Pietro Rinaldi,bornIn,Rome,wikidata_structured,https://www.wikidata.org
Marcus Böhme,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Pierre Barouh,bornIn,15th arrondissement of Paris,wikidata_structured,https://www.wikidata.org
Novica Bjelica,bornIn,Pula,wikidata_structured,https://www.wikidata.org
Preguinho,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Fernando Morales,bornIn,San Juan,wikidata_structured,https://www.wikidata.org
Zoran Jovanović,bornIn,Tuzla,wikidata_structured,https://www.wikidata.org
Markus Steuerwald,bornIn,Wolfach,wikidata_structured,https://www.wikidata.org
László Buzek,bornIn,Budapest,wikidata_structured,https://www.wikidata.org
Eric Fonoimoana,bornIn,Manhattan Beach,wikidata_structured,https://www.wikidata.org
Julius Brink,bornIn,Münster,wikidata_structured,https://www.wikidata.org
Georg Wiebel,bornIn,Karlsruhe,wikidata_structured,https://www.wikidata.org
Viacheslav Platonov,bornIn,Pushkin,wikidata_structured,https://www.wikidata.org
Ian Umlauft,bornIn,Augsburg,wikidata_structured,https://www.wikidata.org
Georg Grozer,bornIn,Budapest,wikidata_structured,https://www.wikidata.org
Mihajlo Mitić,bornIn,Veliko Gradište,wikidata_structured,https://www.wikidata.org
John Child,bornIn,Toronto,wikidata_structured,https://www.wikidata.org
Sebastian Schwarz,bornIn,Freudenstadt,wikidata_structured,https://www.wikidata.org
Goran Vujević,bornIn,Cetinje,wikidata_structured,https://www.wikidata.org
Mariano Baracetti,bornIn,Buenos Aires,wikidata_structured,https://www.wikidata.org
David Klemperer,bornIn,Kiel,wikidata_structured,https://www.wikidata.org
Jonas Reckermann,bornIn,Rheine,wikidata_structured,https://www.wikidata.org
Cristian Casoli,bornIn,Varese,wikidata_structured,https://www.wikidata.org
Andrea Bartoletti,bornIn,Chiaravalle,wikidata_structured,https://www.wikidata.org
Alejandro Spajic,bornIn,San Juan,wikidata_structured,https://www.wikidata.org
Sebastian Kühner,bornIn,Berlin,wikidata_structured,https://www.wikidata.org
Antonius Kass,bornIn,Paderborn,wikidata_structured,https://www.wikidata.org
Frank Bachmann,bornIn,Waiblingen,wikidata_structured,https://www.wikidata.org
Ralph Bergmann,bornIn,Ruit,wikidata_structured,https://www.wikidata.org
Stefan Hübner,bornIn,Bielefeld,wikidata_structured,https://www.wikidata.org
Robert Kromm,bornIn,Schwerin,wikidata_structured,https://www.wikidata.org
Alexis González,bornIn,Buenos Aires,wikidata_structured,https://www.wikidata.org
Frantz Granvorka,bornIn,Champigny-sur-Marne,wikidata_structured,https://www.wikidata.org
Marcus Popp,bornIn,Flöha,wikidata_structured,https://www.wikidata.org
Holger Kleinbub,bornIn,Frankfurt,wikidata_structured,https://www.wikidata.org
Milan Rašić,bornIn,Niš,wikidata_structured,https://www.wikidata.org
Bruno Rezende,bornIn,Rio de Janeiro,wikidata_structured,https://www.wikidata.org
Andreas Scheuerpflug,bornIn,Alpirsbach,wikidata_structured,https://www.wikidata.org
Mark Siebeck,bornIn,Schkeuditz,wikidata_structured,https://www.wikidata.org
Ibán Pérez Manzanares,bornIn,Barcelona,wikidata_structured,https://www.wikidata.org
Sérgio Santos,bornIn,Diamante do Norte,wikidata_structured,https://www.wikidata.org
Simon Tischer,bornIn,Mutlangen,wikidata_structured,https://www.wikidata.org
Max Günthör,bornIn,Friedrichshafen,wikidata_structured,https://www.wikidata.org
André Nascimento,bornIn,São João de Meriti,wikidata_structured,https://www.wikidata.org
Anders Lund Hoyer,bornIn,Odense,wikidata_structured,https://www.wikidata.org
David Lee,bornIn,Alpine,wikidata_structured,https://www.wikidata.org
Moon Sung-min,bornIn,Busan,wikidata_structured,https://www.wikidata.org
