private_entity,label,entity_type,wikidata_uri,confidence,status
http://volleyball-kg.org/ontology#Confederação_Brasileira_de_Voleibol,Confederação Brasileira de Voleibol,ORG,http://www.wikidata.org/entity/Q5159864,0.95,linked
http://volleyball-kg.org/ontology#Brazilian_Volleyball_Confederation,Brazilian Volleyball Confederation,ORG,http://www.wikidata.org/entity/Q5159864,0.8,linked
http://volleyball-kg.org/ontology#Olympic_Games,Olympic Games,EVENT,http://www.wikidata.org/entity/Q5389,0.95,linked
http://volleyball-kg.org/ontology#World_Championship,World Championship,EVENT,http://www.wikidata.org/entity/Q1344963,0.95,linked
http://volleyball-kg.org/ontology#World_League,World League,EVENT,http://www.wikidata.org/entity/Q8035916,0.95,linked
http://volleyball-kg.org/ontology#FIVB,FIVB,ORG,http://www.wikidata.org/entity/Q6851,0.8,linked
http://volleyball-kg.org/ontology#Bernardo_Rezende,Bernardo Rezende,PERSON,http://www.wikidata.org/entity/Q716465,0.95,linked
http://volleyball-kg.org/ontology#FIVB_World_Rankings,FIVB World Rankings,ORG,http://www.wikidata.org/entity/Q1475759,0.95,linked
http://volleyball-kg.org/ontology#Sydney_Olympic_Games,Sydney Olympic Games,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Bernardinho,Bernardinho,PERSON,http://www.wikidata.org/entity/Q716465,0.8,linked
http://volleyball-kg.org/ontology#Americas_Cup,America's Cup,EVENT,http://www.wikidata.org/entity/Q467557,0.95,linked
http://volleyball-kg.org/ontology#South_American_Championship,South American Championship,EVENT,http://www.wikidata.org/entity/Q7565950,0.95,linked
http://volleyball-kg.org/ontology#World_Grand_Champions_Cup,World Grand Champions Cup,EVENT,http://www.wikidata.org/entity/Q2579341,0.95,linked
http://volleyball-kg.org/ontology#World_Champions,World Champions,ORG,http://www.wikidata.org/entity/Q1344963,0.95,linked
http://volleyball-kg.org/ontology#Pan_American_Games,Pan American Games,EVENT,http://www.wikidata.org/entity/Q230186,0.95,linked
http://volleyball-kg.org/ontology#World_Cup,World Cup,EVENT,http://www.wikidata.org/entity/Q19317,0.8,linked
http://volleyball-kg.org/ontology#Bernardo_Rezendes,Bernardo Rezende's,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Nations_League,Nations League,ORG,http://www.wikidata.org/entity/Q15980635,0.8,linked
http://volleyball-kg.org/ontology#Pan-American_Cup,Pan-American Cup,EVENT,http://www.wikidata.org/entity/Q1817812,0.95,linked
http://volleyball-kg.org/ontology#Copa_América,Copa América,ORG,http://www.wikidata.org/entity/Q178750,0.95,linked
http://volleyball-kg.org/ontology#FIVB_Olympic_Qualification_Tournament,FIVB Olympic Qualification Tournament,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#South_American_Olympic_Qualification_Tournament,South American Olympic Qualification Tournament,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#World_Championship_Qualification_Tournament,World Championship Qualification Tournament,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Bebeto_de_Freitas,Bebeto de Freitas,PERSON,http://www.wikidata.org/entity/Q1132732,0.95,linked
http://volleyball-kg.org/ontology#José_Roberto_Guimarães,José Roberto Guimarães,PERSON,http://www.wikidata.org/entity/Q2629771,0.95,linked
http://volleyball-kg.org/ontology#Radamés_Lattari,Radamés Lattari,PERSON,http://www.wikidata.org/entity/Q3928601,0.95,linked
http://volleyball-kg.org/ontology#Renan_Dal_Zotto,Renan Dal Zotto,PERSON,http://www.wikidata.org/entity/Q530237,0.95,linked
http://volleyball-kg.org/ontology#Carlos_Schwanke,Carlos Schwanke,PERSON,http://www.wikidata.org/entity/Q16337077,0.8,linked
http://volleyball-kg.org/ontology#Banco_do_Brasil,Banco do Brasil,ORG,http://www.wikidata.org/entity/Q108220676,0.8,linked
http://volleyball-kg.org/ontology#Nivea,Nivea,ORG,http://www.wikidata.org/entity/Q16280169,0.95,linked
http://volleyball-kg.org/ontology#Globoesporte,Globoesporte,ORG,http://www.wikidata.org/entity/Q10290122,0.8,linked
http://volleyball-kg.org/ontology#Gatorade,Gatorade,ORG,http://www.wikidata.org/entity/Q304992,0.95,linked
http://volleyball-kg.org/ontology#Gol_Transportes_Aereos,Gol Transportes Aereos,ORG,http://www.wikidata.org/entity/Q691637,0.95,linked
http://volleyball-kg.org/ontology#Delta_Air_Lines,Delta Air Lines,ORG,http://www.wikidata.org/entity/Q188920,0.95,linked
http://volleyball-kg.org/ontology#Mikasa,Mikasa,ORG,http://www.wikidata.org/entity/Q37028473,0.95,linked
http://volleyball-kg.org/ontology#Ernst_Young,Ernst & Young,ORG,http://www.wikidata.org/entity/Q489097,0.95,linked
http://volleyball-kg.org/ontology#Asics,Asics,ORG,http://www.wikidata.org/entity/Q327247,0.95,linked
http://volleyball-kg.org/ontology#Media,Media,ORG,http://www.wikidata.org/entity/Q1187804,0.95,linked
http://volleyball-kg.org/ontology#SporTV,SporTV,ORG,http://www.wikidata.org/entity/Q3493786,0.95,linked
http://volleyball-kg.org/ontology#Globo,Globo,ORG,http://www.wikidata.org/entity/Q3587,0.8,linked
http://volleyball-kg.org/ontology#Final_Six,Final Six,EVENT,http://www.wikidata.org/entity/Q110456333,0.95,linked
http://volleyball-kg.org/ontology#European_Championship,European Championship,EVENT,http://www.wikidata.org/entity/Q1375427,0.95,linked
http://volleyball-kg.org/ontology#Rio_2016,Rio 2016,EVENT,http://www.wikidata.org/entity/Q8613,0.8,linked
http://volleyball-kg.org/ontology#Team,Team,ORG,http://www.wikidata.org/entity/Q528227,0.95,linked
http://volleyball-kg.org/ontology#Andrea_Giani,Andrea Giani,PERSON,http://www.wikidata.org/entity/Q37830828,0.95,linked
http://volleyball-kg.org/ontology#Plaswick,Plaswick,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#René_Verdier,René Verdier,PERSON,http://www.wikidata.org/entity/Q89599273,0.95,linked
http://volleyball-kg.org/ontology#Marcel_Mathor,Marcel Mathor,PERSON,http://www.wikidata.org/entity/Q89599467,0.95,linked
http://volleyball-kg.org/ontology#Shigeyoshi_Nagasaki,Shigeyoshi Nagasaki,PERSON,http://www.wikidata.org/entity/Q11652906,0.95,linked
http://volleyball-kg.org/ontology#Nicolae_Sotir,Nicolae Sotir,PERSON,http://www.wikidata.org/entity/Q12736735,0.95,linked
http://volleyball-kg.org/ontology#Georges_Derose,Georges Derose,PERSON,http://www.wikidata.org/entity/Q89599781,0.95,linked
http://volleyball-kg.org/ontology#Roger_Schmitt,Roger Schmitt,PERSON,http://www.wikidata.org/entity/Q100920481,0.95,linked
http://volleyball-kg.org/ontology#Jean-Marc_Buchel,Jean-Marc Buchel,PERSON,http://www.wikidata.org/entity/Q89599896,0.95,linked
http://volleyball-kg.org/ontology#Georges_Komatov,Georges Komatov,PERSON,http://www.wikidata.org/entity/Q89600144,0.95,linked
http://volleyball-kg.org/ontology#Éric_Daniel,Éric Daniel,PERSON,http://www.wikidata.org/entity/Q110141042,0.95,linked
http://volleyball-kg.org/ontology#Gérard_Castan,Gérard Castan,PERSON,http://www.wikidata.org/entity/Q89655803,0.95,linked
http://volleyball-kg.org/ontology#Jean-Marie_Fabiani,Jean-Marie Fabiani,PERSON,http://www.wikidata.org/entity/Q89656048,0.95,linked
