#,Question,Results,Answers,Repaired,Correct
1,Which players represent France in volleyball?,20,"Julien Lyneel, Stéphen Boyer, Earvin Ngapeth, Axel Boissinot, Théo Faure, Nicolas Le Goff, Timothée Carle, Pierre Pujol, Benjamin Toniutti, Moussé Gueye, Jean Patry, Franck Lafitte, Yacine Louati, Rémi Bassereau, Julien Lavagne, Max Sitruk, Kévin Le Roux, Daryl Bultor, Barthélémy Chinenyeze, Antonin Rouzier",no,YES ✅
2,Which players represent Poland in volleyball?,12,"Rościsław Iwanow-Ruszkiewicz, Wilfredo Leon, Robert Malinowski, Michał Kędzierski, Jacek Arlet, Andrzej Niemczyk, Michał Winiarski, Henryk Jaźnicki, Romuald Markowski, Lech Łasko, Paweł Zatorski, Bohdan Bartosiewicz",no,YES ✅
3,Which players represent Brazil in volleyball?,20,"Bebeto de Freitas, Leandro Vissotto, Lucas Saatkamp, Murilo Endres, Nalbert Bitencourt, Henrique Randow, Thiago Soares Alves, William Arjona, Renan Dal Zotto, Rafael Redwitz, Ricardo Lucarelli de Souza, Marcelo Fronkowiack, Marcilio, Wanderson Fernandes Paranhas Campos, Evandro Guerra, Murilo Radke, Diogenes Zagonel, Rogerio Brizola Damasceno, Gustavo Endres, Bernardinho",no,YES ✅
4,Which players represent Italy in volleyball?,11,"Alessandro Fei, Roberto Cazzaniga, Ivan Zaytsev, Jiří Kovář, Oleg Antonov, Paolo Nicolai, Claudio Coldebella, David Brkic, Luca Garri, Alex Ranghieri, Andrea Giani",no,YES ✅
5,Which players represent the United States in volleyball?,20,"Kevin Hansen, Jared Huffman, Scott Touzinsky, Evan Barry, Jacob Edward Arnitz, Graham McIlvaine, Brenden Sander, Clayton Stanley, Thomas Hoff, J. P. Calderon, Daniel Starkey, Scott Fortune, Jayson Jablonsky, Thomas Jaeschke, Daniel Tublin, Riley McKibbin, Kent Steffes, Bryan Ivie, John Hyden, Kawika Shoji",no,YES ✅
6,What playing position does Earvin Ngapeth have?,1,outside hitter,no,YES ✅
7,Which players were born in Italy?,20,"Pierlorenzo Buzzelli, Paolo Torre, Antonio De Paola, Marco Meoni, Iván Castellani, Davide Candellaro, Stefano Giannotti, Andrea Garghella, Leonardo Morsut, Giuliano Agazzi, Roberto Serniotti, Giovanni Lanfranco, Maurizio Nucci, Guido De Luigi, Giancarlo Dametto, Piero Rebaudengo, Gustavo Pallicca, Mauro Berruto, Marco Lipparini, Stefano Thiaw",no,YES ✅
8,Which players are citizens of Cuba?,20,"Pavel Pimienta, Yadier Sánchez Sierra, Keibel Gutiérrez, Raydel Corrales, Jorge Pérez Vento, Leonel Marshall Sr., Osvaldo Hernández, Sergio Noda, Yoandri Díaz, Gil Ferrer Cutiño, Michael Sánchez, Ihosvany Hernández, Robertlandy Simón, Wilfredo Leon, Alain Roca, Raidel Romero Poey, Oreol Camejo, Lorenzo Martínez, Iván Ruiz, Joël Despaigne",no,YES ✅
9,Which players were born in France?,20,"José Amet, Philippe Lecouls, Stephane Antiga, Rémi Granier, Olivier Rossard, Lénaïc Pépin, Quentin Marion, Guillaume Marion, Quentin Rossard, Grégory Féret, Olivier Digaire, Élie Chouraqui, Julien Anton, Robin Hutrel, Mathieu Bord, Christian Fuahea, Swan Ngapeth, Earvin Ngapeth, Loïc Le Marrec, Martial Gore",no,YES ✅
10,Which players play as outside hitter?,20,"Łukasz Szablewski, Marco Fabroni, Alain Fabiani, Yoandri Díaz, Wiesław Gawłowski, Jonah Utvik, Cédric Hominal, Marco Falaschi, Lucas Soldner, Miloš Antonić, Andrey Zubkov, Yannick Bazin, Raymond Aso, Yves Kruyner, Łukasz Kozub, Loïc Lacroix, Marco Izzo, Robert Kiwior, Tsimafei Zhukouski, Valery Losev",no,YES ✅
11,Which national teams are from European countries?,0,—,2x,NO ❌
12,Which national teams are from South American countries?,0,—,2x,NO ❌
13,What is the country of the French national volleyball team?,0,—,2x,NO ❌
14,Which clubs are from Italy?,20,"Q3798333, Avezzano, Pietrasanta, Q3855890, Gaeta, Padua, Castelleone, Pallavolo Parma, Volley Forlì, Q120003009, Asystel Volley, Q117748685, Turin, G.S. Porto Robur Costa, Pallavolo Pineto, Reggio Emilia, Umbertide, Chieti, Tomei Livorno, Asti",1x,YES ✅
15,Which clubs are from Poland?,0,—,2x,NO ❌
16,What country is Trentino Volley associated with?,0,—,2x,NO ❌
17,Which tournaments are organized by the FIVB?,4,"Girls Youth Volleyball World Championship, FIVB Volleyball World Championship, FIVB World League, World Grand Champions Cup",no,YES ✅
18,Which tournaments are followed by another edition?,20,"1935 German One-Cushion Championships, 2021 Judo Grand Slam Kazan, 2017 African U20 Championships in Athletics, 2022 FIBA 3x3 U18 World Cup – Men's tournament, 2021 Asian Youth Para Games, Q131539739, 1999 Pan American Junior Athletics Championships, 1980 World Snooker Championship, 2000 UCI Road World Rankings, 2005 European Athletics Junior Championships, 1991 European Cup, Q137646294, 2012 William Jones Cup, Q60193117, Q118950626, Q122888140, Q113834299, 1878 Melbourne Cup, French Chess Championship 1941, Q130367768",no,YES ✅
19,What sport is the FIVB associated with?,1,Volleyball,no,YES ✅
20,Which players both represent France and were born in France?,14,"Earvin Ngapeth, Benjamin Toniutti, Jenia Grebennikov, Julien Lyneel, Pierre Pujol, Thibault Rossard, Kévin Tillie, Nicolas Le Goff, Franck Lafitte, Antonin Rouzier, Yacine Louati, Trévor Clévenot, Kévin Le Roux, Nicolas Maréchal",no,YES ✅
